D_Name,D_SMILES,D_HOMO,D_LUMO,D_lamda_max,A_Name,A_HOMO,A_LUMO,A_lamda_max,VOC (V),JSC (mA/cm²),FF (%),PCE (%),Ratio,D_gap,A_gap,delta_HOMO,delta_LUMO,Conversion_Status
MPHS-Ph,CCCCCCCCc1cc(-c2cc3sc4c(-c5cccc(SCC(CCCCCC)CCCCCCCC)c5)c5c(sc6cc(-c7cc(CCCCCCCC)c(-c8ccc(/C=C9\SC(=S)N(Cc%10ccccc%10)C9=O)s8)s7)sc65)c(-c5cccc(SCC(CCCCCC)CCCCCCCC)c5)c4c3s2)sc1-c1ccc(/C=C2\SC(=S)N(Cc3ccccc3)C2=O)s1,5.33,-3.51,564.0,BTP-eC9,5.64,-4.05,828.0,0.859,23.63,72.75,14.77,1.8,1.8200000000000005,1.59,0.3099999999999996,0.54,✅ OK
MPHS-Ph,CCCCCCCCc1cc(-c2cc3sc4c(-c5cccc(SCC(CCCCCC)CCCCCCCC)c5)c5c(sc6cc(-c7cc(CCCCCCCC)c(-c8ccc(/C=C9\SC(=S)N(Cc%10ccccc%10)C9=O)s8)s7)sc65)c(-c5cccc(SCC(CCCCCC)CCCCCCCC)c5)c4c3s2)sc1-c1ccc(/C=C2\SC(=S)N(Cc3ccccc3)C2=O)s1,5.33,-3.51,564.0,BTP-eC9,5.64,-4.05,828.0,0.858,23.16,73.22,14.48,1.9,1.8200000000000005,1.59,0.3099999999999996,0.54,✅ OK
MPHS-Ph,CCCCCCCCc1cc(-c2cc3sc4c(-c5cccc(SCC(CCCCCC)CCCCCCCC)c5)c5c(sc6cc(-c7cc(CCCCCCCC)c(-c8ccc(/C=C9\SC(=S)N(Cc%10ccccc%10)C9=O)s8)s7)sc65)c(-c5cccc(SCC(CCCCCC)CCCCCCCC)c5)c4c3s2)sc1-c1ccc(/C=C2\SC(=S)N(Cc3ccccc3)C2=O)s1,5.33,-3.51,564.0,BTP-eC9,5.64,-4.05,828.0,0.861,22.61,74.36,14.48,2.0,1.8200000000000005,1.59,0.3099999999999996,0.54,✅ OK
MPhS-C2,CCCCCCCCC(CCCCCC)CSc1cccc(-c2c3sc4cc(-c5ccc(-c6ccc(/C=C7/SC(=S)N(CC)C7=O)s6)s5)sc4c3c(-c3cccc(SCC(CCCCCC)CCCCCCCC)c3)c3sc4cc(-c5ccc(-c6ccc(/C=C7/SC(=S)N(CC)C7=O)s6)s5)sc4c23)c1,5.35,-3.45,522.0,BTP-eC9,5.64,-4.05,828.0,0.867,24.42,72.75,15.67,1.8,1.8999999999999997,1.59,0.29,0.5999999999999996,✅ OK
MPhS-C2,CCCCCCCCC(CCCCCC)CSc1cccc(-c2c3sc4cc(-c5ccc(-c6ccc(/C=C7/SC(=S)N(CC)C7=O)s6)s5)sc4c3c(-c3cccc(SCC(CCCCCC)CCCCCCCC)c3)c3sc4cc(-c5ccc(-c6ccc(/C=C7/SC(=S)N(CC)C7=O)s6)s5)sc4c23)c1,5.35,-3.45,522.0,BTP-eC9,5.64,-4.05,828.0,0.857,23.66,74.62,15.14,1.9,1.8999999999999997,1.59,0.29,0.5999999999999996,✅ OK
MPhS-C2,CCCCCCCCC(CCCCCC)CSc1cccc(-c2c3sc4cc(-c5ccc(-c6ccc(/C=C7/SC(=S)N(CC)C7=O)s6)s5)sc4c3c(-c3cccc(SCC(CCCCCC)CCCCCCCC)c3)c3sc4cc(-c5ccc(-c6ccc(/C=C7/SC(=S)N(CC)C7=O)s6)s5)sc4c23)c1,5.35,-3.45,522.0,BTP-eC9,5.64,-4.05,828.0,0.854,23.63,74.44,15.03,2.0,1.8999999999999997,1.59,0.29,0.5999999999999996,✅ OK
BSTR-h,CCCCCCc1cc(-c2cc3c(-c4ccc(SCC(CC)CCCC)s4)c4sc(-c5cc(CCCCCC)c(-c6cc(CCCCCC)c(-c7ccc(/C=C8/SC(=S)N(C(CC)CCCC)C8=O)s7)s6)s5)cc4c(-c4ccc(SCC(CC)CCCC)s4)c3s2)sc1-c1cc(CCCCCC)c(-c2ccc(/C=C3/SC(=S)N(C(CC)CCCC)C3=O)s2)s1,5.31,-3.53,579.0,N3,5.64,-4.08,751.0,0.782,25.18,70.08,13.8,1.0,1.7799999999999998,1.5599999999999996,0.33,0.5500000000000003,✅ OK
BSTR-f,CCCCCCc1cc(-c2cc3c(-c4cc(F)c(SCC(CC)CCCC)s4)c4sc(-c5cc(CCCCCC)c(-c6cc(CCCCCC)c(-c7ccc(/C=C8/SC(=S)N(C(CC)CCCC)C8=O)s7)s6)s5)cc4c(-c4cc(F)c(SCC(CC)CCCC)s4)c3s2)sc1-c1cc(CCCCCC)c(-c2ccc(/C=C3/SC(=S)N(C(CC)CCCC)C3=O)s2)s1,5.44,-3.56,575.0,N3,5.64,-4.08,751.0,0.835,24.89,76.64,15.93,1.0,1.8800000000000003,1.5599999999999996,0.1999999999999993,0.52,✅ OK
BSTR-cl,CCCCCCc1cc(-c2cc3c(-c4cc(Cl)c(SCC(CC)CCCC)s4)c4sc(-c5cc(CCCCCC)c(-c6cc(CCCCCC)c(-c7ccc(/C=C8/SC(=S)N(C(CC)CCCC)C8=O)s7)s6)s5)cc4c(-c4cc(Cl)c(SCC(CC)CCCC)s4)c3s2)sc1-c1cc(CCCCCC)c(-c2ccc(/C=C3/SC(=S)N(C(CC)CCCC)C3=O)s2)s1,5.45,-3.54,574.0,N3,5.64,-4.08,751.0,0.833,25.05,74.71,15.59,1.0,1.91,1.5599999999999996,0.1899999999999995,0.54,✅ OK
BSTR-br,CCCCCCc1cc(-c2cc3c(-c4cc(Br)c(SCC(CC)CCCC)s4)c4sc(-c5cc(CCCCCC)c(-c6cc(CCCCCC)c(-c7ccc(/C=C8/SC(=S)N(C(CC)CCCC)C8=O)s7)s6)s5)cc4c(-c4cc(Br)c(SCC(CC)CCCC)s4)c3s2)sc1-c1cc(CCCCCC)c(-c2ccc(/C=C3/SC(=S)N(C(CC)CCCC)C3=O)s2)s1,5.53,-3.53,572.0,N3,5.64,-4.08,751.0,0.827,22.84,72.0,13.6,1.0,2.0000000000000004,1.5599999999999996,0.1099999999999994,0.5500000000000003,✅ OK
MPhS-C2,CCCCCCCCC(CCCCCC)CSc1cccc(-c2c3sc4cc(-c5ccc(-c6ccc(/C=C7/SC(=S)N(CC)C7=O)s6)s5)sc4c3c(-c3cccc(SCC(CCCCCC)CCCCCCCC)c3)c3sc4cc(-c5ccc(-c6ccc(/C=C7/SC(=S)N(CC)C7=O)s6)s5)sc4c23)c1,5.35,-3.45,589.0,L8-S9,5.73,-3.66,831.0,0.894,25.37,73.14,16.59,1.7,1.8999999999999997,2.0700000000000003,0.3800000000000008,0.2099999999999999,✅ OK
MPhS-C2,CCCCCCCCC(CCCCCC)CSc1cccc(-c2c3sc4cc(-c5ccc(-c6ccc(/C=C7/SC(=S)N(CC)C7=O)s6)s5)sc4c3c(-c3cccc(SCC(CCCCCC)CCCCCCCC)c3)c3sc4cc(-c5ccc(-c6ccc(/C=C7/SC(=S)N(CC)C7=O)s6)s5)sc4c23)c1,5.35,-3.45,589.0,L8-BO,5.76,-3.88,796.0,0.875,25.69,70.72,15.9,0.85,1.8999999999999997,1.88,0.4100000000000001,0.4299999999999997,✅ OK
B3TR,CCCCCCc1cc(-c2cc3c(-c4ccc(CC(CC)CCCC)s4)c4sc(-c5cc(CCCCCC)c(-c6cc(CCCCCC)c(-c7ccc(/C=C8/SC(=S)N(CC)C8=O)s7)s6)s5)cc4c(-c4ccc(CC(CC)CCCC)s4)c3s2)sc1-c1cc(CCCCCC)c(-c2ccc(/C=C3/SC(=S)N(CC)C3=O)s2)s1,5.22,-3.67,588.0,BTP-eC9,5.64,-4.05,828.0,0.809,25.5,72.0,14.8,1.0,1.5499999999999998,1.59,0.4199999999999999,0.3799999999999999,✅ OK
B3TR,CCCCCCc1cc(-c2cc3c(-c4ccc(CC(CC)CCCC)s4)c4sc(-c5cc(CCCCCC)c(-c6cc(CCCCCC)c(-c7ccc(/C=C8/SC(=S)N(CC)C8=O)s7)s6)s5)cc4c(-c4ccc(CC(CC)CCCC)s4)c3s2)sc1-c1cc(CCCCCC)c(-c2ccc(/C=C3/SC(=S)N(CC)C3=O)s2)s1,5.22,-3.67,588.0,BTP-eC9,5.64,-4.05,828.0,0.808,24.9,0.683,13.8,1.0,1.5499999999999998,1.59,0.4199999999999999,0.3799999999999999,✅ OK
B3TR,CCCCCCc1cc(-c2cc3c(-c4ccc(CC(CC)CCCC)s4)c4sc(-c5cc(CCCCCC)c(-c6cc(CCCCCC)c(-c7ccc(/C=C8/SC(=S)N(CC)C8=O)s7)s6)s5)cc4c(-c4ccc(CC(CC)CCCC)s4)c3s2)sc1-c1cc(CCCCCC)c(-c2ccc(/C=C3/SC(=S)N(CC)C3=O)s2)s1,5.22,-3.67,588.0,BTP-eC9,5.64,-4.05,828.0,0.802,24.6,0.676,13.4,1.0,1.5499999999999998,1.59,0.4199999999999999,0.3799999999999999,✅ OK
B2,CCCCCCc1cc(-c2cc3c(-c4ccc(CC(CC)CCCC)s4)c4sc(-c5cc6c(-c7ccc(CC(CC)CCCC)s7)c7sc(-c8cc(CCCCCC)c(-c9ccc(/C=C%10/SC(=S)N(CC)C%10=O)s9)s8)cc7c(-c7ccc(CC(CC)CCCC)s7)c6s5)cc4c(-c4ccc(CC(CC)CCCC)s4)c3s2)sc1-c1ccc(/C=C2/SC(=S)N(CC)C2=O)s1,5.23,-3.67,609.0,BTP-eC9,5.64,-4.05,828.0,0.861,26.2,75.8,17.1,1.0,1.5600000000000005,1.59,0.4099999999999992,0.3799999999999999,✅ OK
B2,CCCCCCc1cc(-c2cc3c(-c4ccc(CC(CC)CCCC)s4)c4sc(-c5cc6c(-c7ccc(CC(CC)CCCC)s7)c7sc(-c8cc(CCCCCC)c(-c9ccc(/C=C%10/SC(=S)N(CC)C%10=O)s9)s8)cc7c(-c7ccc(CC(CC)CCCC)s7)c6s5)cc4c(-c4ccc(CC(CC)CCCC)s4)c3s2)sc1-c1ccc(/C=C2/SC(=S)N(CC)C2=O)s1,5.23,-3.67,609.0,BTP-eC9,5.64,-4.05,828.0,0.857,26.1,72.7,16.1,1.0,1.5600000000000005,1.59,0.4099999999999992,0.3799999999999999,✅ OK
B2,CCCCCCc1cc(-c2cc3c(-c4ccc(CC(CC)CCCC)s4)c4sc(-c5cc6c(-c7ccc(CC(CC)CCCC)s7)c7sc(-c8cc(CCCCCC)c(-c9ccc(/C=C%10/SC(=S)N(CC)C%10=O)s9)s8)cc7c(-c7ccc(CC(CC)CCCC)s7)c6s5)cc4c(-c4ccc(CC(CC)CCCC)s4)c3s2)sc1-c1ccc(/C=C2/SC(=S)N(CC)C2=O)s1,5.23,-3.67,609.0,BTP-eC9,5.64,-4.05,828.0,0.861,25.8,66.9,14.9,1.0,1.5600000000000005,1.59,0.4099999999999992,0.3799999999999999,✅ OK
CA-CO,CCN(CC)c1ccc2cc(C(=O)/C=C/c3c4ccccc4cc4ccccc34)c(=O)oc2c1,5.55,-3.59,476.0,Y6,5.7,-4.08,833.0,0.84,20.98,69.0,12.27,0.8333,1.96,1.62,0.1500000000000003,0.4900000000000002,✅ OK
CA-CO,CCN(CC)c1ccc2cc(C(=O)/C=C/c3c4ccccc4cc4ccccc34)c(=O)oc2c1,5.55,-3.59,476.0,DBTBT-IC,5.77,-3.88,660.0,0.97,14.92,64.0,9.41,0.8333,1.96,1.89,0.2199999999999997,0.29,✅ OK
BTR-Cl,CCCCCCc1cc(-c2cc3c(-c4cc(Cl)c(CC(CC)CCCC)s4)c4sc(-c5cc(CCCCCC)c(-c6cc(CCCCCC)c(-c7ccc(/C=C8\SC(=S)N(CCCCCC)C8=O)s7)s6)s5)cc4c(-c4cc(Cl)c(CC(CC)CCCC)s4)c3s2)sc1-c1cc(CCCCCC)c(-c2ccc(/C=C3\SC(=S)N(CCCCCC)C3=O)s2)s1,5.46,-3.7,580.0,Y6,5.65,-4.1,836.0,0.83,23.66,74.7,14.7,1.6,1.7599999999999998,1.5500000000000007,0.1900000000000004,0.3999999999999994,✅ OK
B1,CCCCCCc1cc(-c2cc3c(-c4ccc(SCC(CC)CCCC)cc4)c4sc(-c5cc(CCCCCC)c(-c6cc(CCCCCC)c(-c7ccc(/C=C8\SC(=S)N(CCCC)C8=O)s7)s6)s5)cc4c(-c4ccc(SCC(CC)CCCC)cc4)c3s2)sc1-c1cc(CCCCCC)c(-c2ccc(/C=C3\SC(=S)N(CCCC)C3=O)s2)s1,5.1,-3.51,626.0,BO-4Cl,5.66,-4.09,822.0,0.83,25.27,73.0,15.3,1.0,1.59,1.5700000000000005,0.5600000000000005,0.5800000000000001,✅ OK
B1,CCCCCCc1cc(-c2cc3c(-c4ccc(SCC(CC)CCCC)cc4)c4sc(-c5cc(CCCCCC)c(-c6cc(CCCCCC)c(-c7ccc(/C=C8\SC(=S)N(CCCC)C8=O)s7)s6)s5)cc4c(-c4ccc(SCC(CC)CCCC)cc4)c3s2)sc1-c1cc(CCCCCC)c(-c2ccc(/C=C3\SC(=S)N(CCCC)C3=O)s2)s1,5.1,-3.51,626.0,BO-4Cl,5.66,-4.09,822.0,0.82,24.34,75.0,15.0,1.0,1.59,1.5700000000000005,0.5600000000000005,0.5800000000000001,✅ OK
BTR,CCCCCCc1cc(-c2c3cc(-c4cc(CCCCCC)c(-c5cc(CCCCCC)c(-c6ccc(/C=C7\SC(=S)N(CCCCCC)C7=O)s6)s5)s4)sc3c(-c3cc(CCCCCC)c(CC(CC)CCCC)s3)c3cc(-c4cc(CCCCCC)c(-c5cc(CCCCCC)c(-c6ccc(/C=C7\SC(=S)N(CCCCCC)C7=O)s6)s5)s4)sc23)sc1CC(CC)CCCC,5.34,-3.52,620.0,BO-4Cl,5.66,-4.09,822.0,0.83,18.67,67.0,10.4,1.0,1.82,1.5700000000000005,0.3200000000000003,0.5699999999999998,✅ OK
BTR,CCCCCCc1cc(-c2c3cc(-c4cc(CCCCCC)c(-c5cc(CCCCCC)c(-c6ccc(/C=C7\SC(=S)N(CCCCCC)C7=O)s6)s5)s4)sc3c(-c3cc(CCCCCC)c(CC(CC)CCCC)s3)c3cc(-c4cc(CCCCCC)c(-c5cc(CCCCCC)c(-c6ccc(/C=C7\SC(=S)N(CCCCCC)C7=O)s6)s5)s4)sc23)sc1CC(CC)CCCC,5.34,-3.52,620.0,BO-4Cl,5.66,-4.09,822.0,0.83,18.93,72.0,11.3,1.0,1.82,1.5700000000000005,0.3200000000000003,0.5699999999999998,✅ OK
BM-Cl,CCCCCCc1cc(-c2cc3c(-c4cccc(SCC(CC)CCCC)c4)c4sc(-c5cc(CCCCCC)c(-c6cc(CCCCCC)c(-c7sc(/C=C8\SC(=S)N(CCCCC)C8=O)cc7Cl)s6)s5)cc4c(-c4cccc(SCC(CC)CCCC)c4)c3s2)sc1-c1cc(CCCCCC)c(-c2sc(/C=C3\SC(=S)N(CCCCC)C3=O)cc2Cl)s1,4.98,-3.06,584.0,BO-4Cl,5.6,-4.16,833.0,0.806,26.23,72.9,15.4,1.0,1.9200000000000004,1.4399999999999995,0.6199999999999992,1.1,✅ OK
BM-ClEH,CCCCCCc1cc(-c2cc3c(-c4cccc(SCC(CC)CCCC)c4)c4sc(-c5cc(CCCCCC)c(-c6cc(CCCCCC)c(-c7sc(/C=C8\SC(=S)N(C(CC)CCCC)C8=O)cc7Cl)s6)s5)cc4c(-c4cccc(SCC(CC)CCCC)c4)c3s2)sc1-c1cc(CCCCCC)c(-c2sc(/C=C3\SC(=S)N(C(CC)CCCC)C3=O)cc2Cl)s1,5.06,-3.2,569.0,BO-4Cl,5.57,-4.14,835.0,0.835,22.26,73.6,13.7,1.0,1.8599999999999997,1.4300000000000006,0.5100000000000007,0.9399999999999996,✅ OK
BM-ClEH,CCCCCCc1cc(-c2cc3c(-c4cccc(SCC(CC)CCCC)c4)c4sc(-c5cc(CCCCCC)c(-c6cc(CCCCCC)c(-c7sc(/C=C8\SC(=S)N(C(CC)CCCC)C8=O)cc7Cl)s6)s5)cc4c(-c4cccc(SCC(CC)CCCC)c4)c3s2)sc1-c1cc(CCCCCC)c(-c2sc(/C=C3\SC(=S)N(C(CC)CCCC)C3=O)cc2Cl)s1,5.06,-3.2,569.0,BO-4Cl,5.57,-4.14,835.0,0.846,24.38,72.7,15.0,1.0,1.8599999999999997,1.4300000000000006,0.5100000000000007,0.9399999999999996,✅ OK
BDTT-TR,CCCCCCCCc1cc(/C=C2\SC(=S)N(CC)C2=O)sc1-c1ccc(-c2sc(-c3cc4c(-c5ccc(CC(CC)CCCC)s5)c5sc(-c6cc(CCCCCCCC)c(-c7ccc(-c8sc(/C=C9\SC(=S)N(CC)C9=O)cc8CCCCCCCC)s7)s6)cc5c(-c5ccc(CC(CC)CCCC)s5)c4s3)cc2CCCCCCCC)s1,5.17,-3.43,708.0,Y6,5.7,-4.08,833.0,0.784,20.56,47.74,7.7,1.0,1.7399999999999998,1.62,0.5300000000000002,0.6499999999999999,✅ OK
BDTT-TR,CCCCCCCCc1cc(/C=C2\SC(=S)N(CC)C2=O)sc1-c1ccc(-c2sc(-c3cc4c(-c5ccc(CC(CC)CCCC)s5)c5sc(-c6cc(CCCCCCCC)c(-c7ccc(-c8sc(/C=C9\SC(=S)N(CC)C9=O)cc8CCCCCCCC)s7)s6)cc5c(-c5ccc(CC(CC)CCCC)s5)c4s3)cc2CCCCCCCC)s1,5.17,-3.43,708.0,Y6,5.7,-4.08,833.0,0.793,23.4,54.57,10.12,1.2,1.7399999999999998,1.62,0.5300000000000002,0.6499999999999999,✅ OK
BDTT-TR,CCCCCCCCc1cc(/C=C2\SC(=S)N(CC)C2=O)sc1-c1ccc(-c2sc(-c3cc4c(-c5ccc(CC(CC)CCCC)s5)c5sc(-c6cc(CCCCCCCC)c(-c7ccc(-c8sc(/C=C9\SC(=S)N(CC)C9=O)cc8CCCCCCCC)s7)s6)cc5c(-c5ccc(CC(CC)CCCC)s5)c4s3)cc2CCCCCCCC)s1,5.17,-3.43,708.0,Y6,5.7,-4.08,833.0,0.786,23.57,58.57,10.92,1.4,1.7399999999999998,1.62,0.5300000000000002,0.6499999999999999,✅ OK
BDTT-TR,CCCCCCCCc1cc(/C=C2\SC(=S)N(CC)C2=O)sc1-c1ccc(-c2sc(-c3cc4c(-c5ccc(CC(CC)CCCC)s5)c5sc(-c6cc(CCCCCCCC)c(-c7ccc(-c8sc(/C=C9\SC(=S)N(CC)C9=O)cc8CCCCCCCC)s7)s6)cc5c(-c5ccc(CC(CC)CCCC)s5)c4s3)cc2CCCCCCCC)s1,5.17,-3.43,708.0,Y6,5.7,-4.08,833.0,0.78,22.45,58.94,11.18,1.6,1.7399999999999998,1.62,0.5300000000000002,0.6499999999999999,✅ OK
