D_Name,D_SMILES,D_HOMO,D_LUMO,D_lamda_max,A_Name,A_HOMO,A_LUMO,A_lamda_max,VOC (V),JSC (mA/cm²),FF (%),PCE (%),Ratio,D_gap,A_gap,delta_HOMO,delta_LUMO
MPHS-Ph,O=C(N(CC1=CC=CC=C1)C(S/2)=S)C2=C\C3=CC=C(S3)C(S4)=C(CCCCCCCC)C=C4C5=CC(S6)=C(S5)C7=C6C(C8=CC(SCC(CCCCCC)CCCCCCCC)=CC=C8)=C(C(SC(C9=CC(CCCCCCCC)=C(C%10=CC=C(/C=C%11C(N(CC%12=CC=CC=C%12)C(S/%11)=S)=O)S%10)S9)=C%13)=C%13S%14)C%14=C7C%15=CC(SCC(CCCCCCCC)CCCCCC)=CC=C%15,5.33,-3.51,564.0,BTP-eC9,5.64,-4.05,828.0,0.859,23.63,72.75,14.77,1.8,1.8200000000000003,1.5899999999999999,0.3099999999999996,0.54
MPHS-Ph,O=C(N(CC1=CC=CC=C1)C(S/2)=S)C2=C\C3=CC=C(S3)C(S4)=C(CCCCCCCC)C=C4C5=CC(S6)=C(S5)C7=C6C(C8=CC(SCC(CCCCCC)CCCCCCCC)=CC=C8)=C(C(SC(C9=CC(CCCCCCCC)=C(C%10=CC=C(/C=C%11C(N(CC%12=CC=CC=C%12)C(S/%11)=S)=O)S%10)S9)=C%13)=C%13S%14)C%14=C7C%15=CC(SCC(CCCCCCCC)CCCCCC)=CC=C%15,5.33,-3.51,564.0,BTP-eC9,5.64,-4.05,828.0,0.858,23.16,73.22,14.48,1.9,1.8200000000000003,1.5899999999999999,0.3099999999999996,0.54
MPHS-Ph,O=C(N(CC1=CC=CC=C1)C(S/2)=S)C2=C\C3=CC=C(S3)C(S4)=C(CCCCCCCC)C=C4C5=CC(S6)=C(S5)C7=C6C(C8=CC(SCC(CCCCCC)CCCCCCCC)=CC=C8)=C(C(SC(C9=CC(CCCCCCCC)=C(C%10=CC=C(/C=C%11C(N(CC%12=CC=CC=C%12)C(S/%11)=S)=O)S%10)S9)=C%13)=C%13S%14)C%14=C7C%15=CC(SCC(CCCCCCCC)CCCCCC)=CC=C%15,5.33,-3.51,564.0,BTP-eC9,5.64,-4.05,828.0,0.861,22.61,74.36,14.48,2.0,1.8200000000000003,1.5899999999999999,0.3099999999999996,0.54
MPhS-C2,O=C(N(CC)C(S/1)=S)C1=C/C2=CC=C(S2)C(S3)=CC=C3C4=CC5=C(S4)C6=C(C7=CC(SCC(CCCCCC)CCCCCCCC)=CC=C7)C8=C(C(SC(C9=CC=C(C%10=CC=C(/C=C%11C(N(CC)C(S\%11)=S)=O)S%10)S9)=C%12)=C%12S8)C(C%13=CC(SCC(CCCCCC)CCCCCCCC)=CC=C%13)=C6S5,5.35,-3.45,522.0,BTP-eC9,5.64,-4.05,828.0,0.867,24.42,72.75,15.67,1.8,1.8999999999999995,1.5899999999999999,0.29000000000000004,0.5999999999999996
MPhS-C2,O=C(N(CC)C(S/1)=S)C1=C/C2=CC=C(S2)C(S3)=CC=C3C4=CC5=C(S4)C6=C(C7=CC(SCC(CCCCCC)CCCCCCCC)=CC=C7)C8=C(C(SC(C9=CC=C(C%10=CC=C(/C=C%11C(N(CC)C(S\%11)=S)=O)S%10)S9)=C%12)=C%12S8)C(C%13=CC(SCC(CCCCCC)CCCCCCCC)=CC=C%13)=C6S5,5.35,-3.45,522.0,BTP-eC9,5.64,-4.05,828.0,0.857,23.66,74.62,15.14,1.9,1.8999999999999995,1.5899999999999999,0.29000000000000004,0.5999999999999996
MPhS-C2,O=C(N(CC)C(S/1)=S)C1=C/C2=CC=C(S2)C(S3)=CC=C3C4=CC5=C(S4)C6=C(C7=CC(SCC(CCCCCC)CCCCCCCC)=CC=C7)C8=C(C(SC(C9=CC=C(C%10=CC=C(/C=C%11C(N(CC)C(S\%11)=S)=O)S%10)S9)=C%12)=C%12S8)C(C%13=CC(SCC(CCCCCC)CCCCCCCC)=CC=C%13)=C6S5,5.35,-3.45,522.0,BTP-eC9,5.64,-4.05,828.0,0.854,23.63,74.44,15.03,2.0,1.8999999999999995,1.5899999999999999,0.29000000000000004,0.5999999999999996
BSTR-h,O=C(/C(S1)=C\C(S2)=CC=C2C3=C(CCCCCC)C=C(S3)C(S4)=C(CCCCCC)C=C4C5=CC6=C(C7=CC=C(SCC(CC)CCCC)S7)C(SC(C(S8)=CC(CCCCCC)=C8C9=CC(CCCCCC)=C(S9)C(S%10)=CC=C%10/C=C%11C(N(C(S\%11)=S)C(CCCC)CC)=O)=C%12)=C%12C(C(S%13)=CC=C%13SCC(CCCC)CC)=C6S5)N(C(CC)CCCC)C1=S,5.31,-3.53,579.0,N3,5.64,-4.08,751.0,0.782,25.18,70.08,13.8,1.0,1.7799999999999998,1.5599999999999996,0.33000000000000007,0.5500000000000003
BSTR-f,O=C(/C(S1)=C\C(S2)=CC=C2C3=C(CCCCCC)C=C(S3)C(S4)=C(CCCCCC)C=C4C5=CC6=C(C7=CC(F)=C(SCC(CC)CCCC)S7)C(SC(C(S8)=CC(CCCCCC)=C8C9=CC(CCCCCC)=C(S9)C(S%10)=CC=C%10/C=C%11C(N(C(S\%11)=S)C(CCCC)CC)=O)=C%12)=C%12C(C(S%13)=CC(F)=C%13SCC(CCCC)CC)=C6S5)N(C(CC)CCCC)C1=S,5.44,-3.56,575.0,N3,5.64,-4.08,751.0,0.835,24.89,76.64,15.93,1.0,1.8800000000000003,1.5599999999999996,0.1999999999999993,0.52
BSTR-cl,O=C(/C(S1)=C\C(S2)=CC=C2C3=C(CCCCCC)C=C(S3)C(S4)=C(CCCCCC)C=C4C5=CC6=C(C7=CC(Cl)=C(SCC(CC)CCCC)S7)C(SC(C(S8)=CC(CCCCCC)=C8C9=CC(CCCCCC)=C(S9)C(S%10)=CC=C%10/C=C%11C(N(C(S\%11)=S)C(CCCC)CC)=O)=C%12)=C%12C(C(S%13)=CC(Cl)=C%13SCC(CCCC)CC)=C6S5)N(C(CC)CCCC)C1=S,5.45,-3.54,574.0,N3,5.64,-4.08,751.0,0.833,25.05,74.71,15.59,1.0,1.9100000000000001,1.5599999999999996,0.1899999999999995,0.54
BSTR-br,O=C(/C(S1)=C\C(S2)=CC=C2C3=C(CCCCCC)C=C(S3)C(S4)=C(CCCCCC)C=C4C5=CC6=C(C7=CC(Br)=C(SCC(CC)CCCC)S7)C(SC(C(S8)=CC(CCCCCC)=C8C9=CC(CCCCCC)=C(S9)C(S%10)=CC=C%10/C=C%11C(N(C(S\%11)=S)C(CCCC)CC)=O)=C%12)=C%12C(C(S%13)=CC(Br)=C%13SCC(CCCC)CC)=C6S5)N(C(CC)CCCC)C1=S,5.53,-3.53,572.0,N3,5.64,-4.08,751.0,0.827,22.84,72.0,13.6,1.0,2.0000000000000004,1.5599999999999996,0.10999999999999943,0.5500000000000003
MPhS-C2,O=C(N(CC)C(S/1)=S)C1=C/C2=CC=C(S2)C(S3)=CC=C3C4=CC5=C(S4)C6=C(C7=CC(SCC(CCCCCC)CCCCCCCC)=CC=C7)C8=C(C(SC(C9=CC=C(C%10=CC=C(/C=C%11C(N(CC)C(S\%11)=S)=O)S%10)S9)=C%12)=C%12S8)C(C%13=CC(SCC(CCCCCC)CCCCCCCC)=CC=C%13)=C6S5,5.35,-3.45,589.0,L8-S9,5.73,-3.66,831.0,0.894,25.37,73.14,16.59,1.7,1.8999999999999995,2.0700000000000003,0.3800000000000008,0.20999999999999996
